date,valid
2016-11-22,
2016-11-23,20.389
2016-11-24,16.6209
2016-11-25,
2016-11-26,13.0501
2016-11-27,13.6412
2016-11-28,11.3992
2016-11-29,41.4121
2016-11-30,40.6654
2016-12-01,26.8333
2016-12-02,26.7211
2016-12-03,14.8237
2016-12-04,10.0644
2016-12-05,14.8613
2016-12-06,15.6258
2016-12-07,15.3763
2016-12-08,13.3472
2016-12-09,14.5136
2016-12-10,9.92775
2016-12-11,9.756
2016-12-12,11.8434
2016-12-13,15.5975
2016-12-14,31.6131
2016-12-15,39.6179
2016-12-16,18.3601
2016-12-17,17.5993
2016-12-18,13.1981
2016-12-19,15.7488
2016-12-20,17.4217
2016-12-21,14.9455
2016-12-22,11.5363
2016-12-23,16.3711
2016-12-24,13.7376
2016-12-25,12.1401
2016-12-26,
2016-12-27,
2016-12-28,
2016-12-29,16.8287
2016-12-30,13.8466
2016-12-31,24.5231
2017-01-01,15.4016
2017-01-02,
2017-01-03,12.7063
2017-01-04,18.1805
2017-01-05,14.4838
2017-01-06,16.5916
2017-01-07,10.6285
2017-01-08,
2017-01-09,
2017-01-10,13.8039
2017-01-11,13.5
2017-01-12,24.2123
2017-01-13,12.9634
2017-01-14,17.7834
2017-01-15,13.6814
2017-01-16,24.165
2017-01-17,19.4149
2017-01-18,90.396
2017-01-19,102.188
2017-01-20,21.6194
2017-01-21,35.3174
2017-01-22,56.86
2017-01-23,62.4363
2017-01-24,31.274
2017-01-25,11.9915
2017-01-26,20.0553
2017-01-27,23.4414
2017-01-28,51.2846
2017-01-29,51.4852
2017-01-30,58.8223
2017-01-31,31.6621
2017-02-01,41.3041
2017-02-02,30.6699
2017-02-03,13.0067
2017-02-04,22.2326
2017-02-05,16.6819
2017-02-06,18.849
2017-02-07,22.1917
2017-02-08,17.1692
2017-02-09,16.6096
2017-02-10,18.2763
2017-02-11,20.1135
2017-02-12,19.3343
2017-02-13,24.4442
2017-02-14,26.3265
2017-02-15,24.7163
2017-02-16,13.8458
2017-02-17,18.5171
2017-02-18,10.5046
2017-02-19,20.1712
2017-02-20,
2017-02-21,
2017-02-22,15.2407
2017-02-23,17.2742
2017-02-24,22.0247
2017-02-25,15.9815
2017-02-26,13.405
2017-02-27,15.1265
2017-02-28,14.1162
2017-03-01,14.5385
2017-03-02,17.8885
2017-03-03,16.0029
2017-03-04,11.5626
2017-03-05,19.2345
2017-03-06,15.1937
2017-03-07,15.6861
2017-03-08,24.5915
2017-03-09,17.1258
2017-03-10,14.5469
2017-03-11,17.3317
2017-03-12,15.1613
2017-03-13,17.2042
2017-03-14,19.7281
2017-03-15,26.625
2017-03-16,23.8856
2017-03-17,22.6245
2017-03-18,21.2219
2017-03-19,24.1861
2017-03-20,21.4769
2017-03-21,18.1953
2017-03-22,26.5369
2017-03-23,22.9236
2017-03-24,23.0968
2017-03-25,23.9533
2017-03-26,14.935
2017-03-27,16.4237
2017-03-28,23.2917
2017-03-29,18.3771
2017-03-30,17.5592
2017-03-31,33.6583
2017-04-01,21.91
2017-04-02,17.812
2017-04-03,19.2105
2017-04-04,25.2941
2017-04-05,18.9214
2017-04-06,17.6186
2017-04-07,
2017-04-08,17.3103
2017-04-09,17.29
2017-04-10,12.688
2017-04-11,18.2155
2017-04-12,29.06
2017-04-13,20.4169
2017-04-14,20.4059
2017-04-15,28.0378
2017-04-16,21.3346
2017-04-17,21.3491
2017-04-18,22.8332
2017-04-19,
2017-04-20,
2017-04-21,
2017-04-22,5.68433
2017-04-23,16.5834
2017-04-24,20.6577
2017-04-25,14.2664
2017-04-26,12.0013
2017-04-27,12.8677
2017-04-28,15.0979
2017-04-29,21.7072
2017-04-30,16.6733
2017-05-01,21.0
2017-05-02,39.0
2017-05-03,16.0
2017-05-04,20.0
2017-05-05,30.0
2017-05-06,40.0
2017-05-07,12.0
2017-05-08,8.0
2017-05-09,24.0
2017-05-10,29.0
2017-05-11,9.0
2017-05-12,15.0
2017-05-13,12.0
2017-05-14,23.0
2017-05-15,16.0
2017-05-16,39.0
2017-05-17,32.0
2017-05-18,10.0
2017-05-19,18.0
2017-05-20,27.0
2017-05-21,39.0
2017-05-22,45.0
2017-05-23,
2017-05-24,
2017-05-25,28.0
2017-05-26,39.0
2017-05-27,51.0
2017-05-28,51.0
2017-05-29,46.0
2017-05-30,47.0
2017-05-31,52.0
2017-06-01,37.0
2017-06-02,51.0
2017-06-03,75.0
2017-06-04,25.0
2017-06-05,30.0
2017-06-06,58.0
2017-06-07,37.0
2017-06-08,41.0
2017-06-09,41.0
2017-06-10,27.0
2017-06-11,35.0
2017-06-12,60.0
2017-06-13,77.0
2017-06-14,74.0
2017-06-15,54.0
2017-06-16,7.0
2017-06-17,11.0
2017-06-18,42.0
2017-06-19,51.0
2017-06-20,71.0
2017-06-21,67.0
2017-06-22,24.0
2017-06-23,42.0
2017-06-24,55.0
2017-06-25,19.0
2017-06-26,25.0
2017-06-27,29.0
2017-06-28,30.0
2017-06-29,34.0
2017-06-30,31.0
2017-07-01,47.0
2017-07-02,29.0
2017-07-03,27.0
2017-07-04,31.0
2017-07-05,49.0
2017-07-06,56.0
2017-07-07,36.0
2017-07-08,66.0
2017-07-09,29.0
2017-07-10,38.0
2017-07-11,63.0
2017-07-12,48.0
2017-07-13,41.0
2017-07-14,31.0
2017-07-15,
2017-07-16,20.0
2017-07-17,40.0
2017-07-18,45.0
2017-07-19,41.0
2017-07-20,41.0
2017-07-21,26.0
2017-07-22,30.0
2017-07-23,17.0
2017-07-24,17.0
2017-07-25,36.0
2017-07-26,26.0
2017-07-27,41.0
2017-07-28,34.0
2017-07-29,15.0
2017-07-30,32.0
2017-07-31,56.0
2017-08-01,64.0
2017-08-02,52.0
2017-08-03,58.0
2017-08-04,58.0
2017-08-05,88.0
2017-08-06,41.0
2017-08-07,47.0
2017-08-08,55.0
2017-08-09,23.0
2017-08-10,7.0
2017-08-11,18.0
2017-08-12,30.0
2017-08-13,23.0
2017-08-14,23.0
2017-08-15,16.0
2017-08-16,26.0
2017-08-17,35.0
2017-08-18,22.0
2017-08-19,17.0
2017-08-20,29.0
2017-08-21,32.0
2017-08-22,23.0
2017-08-23,25.0
2017-08-24,16.0
2017-08-25,35.0
2017-08-26,51.0
2017-08-27,32.0
2017-08-28,16.0
2017-08-29,7.0
2017-08-30,29.0
2017-08-31,21.0
2017-09-01,7.0
2017-09-02,5.0
2017-09-03,7.0
2017-09-04,15.0
2017-09-05,20.0
2017-09-06,15.0
2017-09-07,15.0
2017-09-08,17.0
2017-09-09,19.0
2017-09-10,21.0
2017-09-11,31.0
2017-09-12,17.0
2017-09-13,9.0
2017-09-14,6.0
2017-09-15,19.0
2017-09-16,22.0
2017-09-17,16.0
2017-09-18,13.0
2017-09-19,5.0
2017-09-20,6.0
2017-09-21,11.0
2017-09-22,17.0
2017-09-23,12.0
2017-09-24,4.0
2017-09-25,11.0
2017-09-26,12.0
2017-09-27,17.0
2017-09-28,12.0
2017-09-29,17.0
2017-09-30,18.0
2017-10-01,4.0
2017-10-02,9.0
2017-10-03,13.0
2017-10-04,7.0
2017-10-05,3.0
2017-10-06,6.0
2017-10-07,5.0
2017-10-08,2.0
2017-10-09,1.0
2017-10-10,3.0
2017-10-11,3.0
2017-10-12,8.0
2017-10-13,8.0
2017-10-14,8.0
2017-10-15,8.0
2017-10-16,4.0
2017-10-17,10.0
2017-10-18,2.0
2017-10-19,4.0
2017-10-20,11.0
2017-10-21,7.0
2017-10-22,5.0
2017-10-23,4.0
2017-10-24,4.0
2017-10-25,5.0
2017-10-26,4.0
2017-10-27,4.0
2017-10-28,1.0
2017-10-29,1.0
2017-10-30,2.0
2017-10-31,4.0
2017-11-01,10.0
2017-11-02,
2017-11-03,4.0
2017-11-04,5.0
