date,valid
2016-03-16,
2016-03-17,
2016-03-18,
2016-03-19,
2016-03-20,
2016-03-21,
2016-03-22,
2016-03-23,
2016-03-24,28.8552
2016-03-25,28.0385
2016-03-26,25.1154
2016-03-27,27.3497
2016-03-28,25.1702
2016-03-29,
2016-03-30,24.656
2016-03-31,22.8184
2016-04-01,20.4132
2016-04-02,15.0569
2016-04-03,21.0538
2016-04-04,
2016-04-05,21.1355
2016-04-06,33.4781
2016-04-07,16.273
2016-04-08,18.2243
2016-04-09,21.7484
2016-04-10,26.9163
2016-04-11,23.0141
2016-04-12,
2016-04-13,34.5159
2016-04-14,21.3087
2016-04-15,6.42063
2016-04-16,
2016-04-17,9.67072
2016-04-18,11.1212
2016-04-19,13.0071
2016-04-20,17.7293
2016-04-21,15.062
2016-04-22,22.7166
2016-04-23,12.8148
2016-04-24,
2016-04-25,20.6969
2016-04-26,45.4439
2016-04-27,39.4813
2016-04-28,39.4042
2016-04-29,42.7636
2016-04-30,33.2295
2016-05-01,51.4365
2016-05-02,42.316
2016-05-03,30.4488
2016-05-04,36.3571
2016-05-05,27.5269
2016-05-06,34.223
2016-05-07,38.6583
2016-05-08,12.8781
2016-05-09,30.7187
2016-05-10,36.4563
2016-05-11,27.6759
2016-05-12,33.6382
2016-05-13,42.2736
2016-05-14,51.3949
2016-05-15,41.797
2016-05-16,26.1008
2016-05-17,29.8557
2016-05-18,32.8851
2016-05-19,20.8102
2016-05-20,20.1515
2016-05-21,17.0195
2016-05-22,21.3559
2016-05-23,45.0892
2016-05-24,47.5461
2016-05-25,62.6134
2016-05-26,30.6165
2016-05-27,40.211
2016-05-28,41.546
2016-05-29,38.2051
2016-05-30,
2016-05-31,33.2145
2016-06-01,54.8203
2016-06-02,38.7693
2016-06-03,30.7636
2016-06-04,31.3746
2016-06-05,28.0331
2016-06-06,31.6021
2016-06-07,32.5877
2016-06-08,35.4253
2016-06-09,52.6605
2016-06-10,56.1609
2016-06-11,109.044
2016-06-12,117.29
2016-06-13,47.2603
2016-06-14,39.9379
2016-06-15,27.9017
2016-06-16,65.9807
2016-06-17,40.7353
2016-06-18,71.5006
2016-06-19,61.9714
2016-06-20,43.2982
2016-06-21,41.7466
2016-06-22,56.3309
2016-06-23,31.2096
2016-06-24,
2016-06-25,
2016-06-26,
2016-06-27,
2016-06-28,
2016-06-29,52.8669
2016-06-30,42.3091
2016-07-01,46.7906
2016-07-02,75.5894
2016-07-03,80.6448
2016-07-04,49.1438
2016-07-05,67.6631
2016-07-06,42.2919
2016-07-07,77.0138
2016-07-08,107.323
2016-07-09,116.649
2016-07-10,105.605
2016-07-11,45.2539
2016-07-12,85.0626
2016-07-13,21.5742
2016-07-14,
2016-07-15,38.4891
2016-07-16,84.3965
2016-07-17,66.8704
2016-07-18,32.0295
2016-07-19,49.0097
2016-07-20,79.34
2016-07-21,50.3773
2016-07-22,81.9052
2016-07-23,52.5707
2016-07-24,51.2455
2016-07-25,13.4433
2016-07-26,21.0102
2016-07-27,34.5103
2016-07-28,101.146
2016-07-29,90.7395
2016-07-30,45.6747
2016-07-31,52.705
2016-08-01,37.1867
2016-08-02,37.361
2016-08-03,70.7954
2016-08-04,33.3212
2016-08-05,35.4919
2016-08-06,21.7899
2016-08-07,27.9302
