date,time,valid,prelim,novalid,
160316, 0000,             ,            ,            ,
160317, 0000,             ,            ,            ,
160318, 0000,             ,            ,            ,
160319, 0000,             ,            ,            ,
160320, 0000,             ,            ,            ,
160321, 0000,             ,            ,            ,
160322, 0000,             ,            ,            ,
160323, 0000,             ,            ,            ,
160324, 0000,      28.8552,            ,            ,
160325, 0000,      28.0385,            ,            ,
160326, 0000,      25.1154,            ,            ,
160327, 0000,      27.3497,            ,            ,
160328, 0000,      25.1702,            ,            ,
160329, 0000,             ,            ,     14.9619,
160330, 0000,       24.656,            ,            ,
160331, 0000,      22.8184,            ,            ,
160401, 0000,      20.4132,            ,            ,
160402, 0000,      15.0569,            ,            ,
160403, 0000,      21.0538,            ,            ,
160404, 0000,             ,            ,     18.1472,
160405, 0000,      21.1355,            ,            ,
160406, 0000,      33.4781,            ,            ,
160407, 0000,       16.273,            ,            ,
160408, 0000,      18.2243,            ,            ,
160409, 0000,      21.7484,            ,            ,
160410, 0000,      26.9163,            ,            ,
160411, 0000,      23.0141,            ,            ,
160412, 0000,             ,     25.9876,            ,
160413, 0000,      34.5159,            ,            ,
160414, 0000,      21.3087,            ,            ,
160415, 0000,      6.42063,            ,            ,
160416, 0000,             ,            ,     14.3368,
160417, 0000,      9.67072,            ,            ,
160418, 0000,      11.1212,            ,            ,
160419, 0000,      13.0071,            ,            ,
160420, 0000,      17.7293,            ,            ,
160421, 0000,       15.062,            ,            ,
160422, 0000,      22.7166,            ,            ,
160423, 0000,      12.8148,            ,            ,
160424, 0000,             ,            ,     17.1653,
160425, 0000,      20.6969,            ,            ,
160426, 0000,      45.4439,            ,            ,
160427, 0000,      39.4813,            ,            ,
160428, 0000,      39.4042,            ,            ,
160429, 0000,      42.7636,            ,            ,
160430, 0000,      33.2295,            ,            ,
160501, 0000,      51.4365,            ,            ,
160502, 0000,       42.316,            ,            ,
160503, 0000,      30.4488,            ,            ,
160504, 0000,      36.3571,            ,            ,
160505, 0000,      27.5269,            ,            ,
160506, 0000,       34.223,            ,            ,
160507, 0000,      38.6583,            ,            ,
160508, 0000,      12.8781,            ,            ,
160509, 0000,      30.7187,            ,            ,
160510, 0000,      36.4563,            ,            ,
160511, 0000,      27.6759,            ,            ,
160512, 0000,      33.6382,            ,            ,
160513, 0000,      42.2736,            ,            ,
160514, 0000,      51.3949,            ,            ,
160515, 0000,       41.797,            ,            ,
160516, 0000,      26.1008,            ,            ,
160517, 0000,      29.8557,            ,            ,
160518, 0000,      32.8851,            ,            ,
160519, 0000,      20.8102,            ,            ,
160520, 0000,      20.1515,            ,            ,
160521, 0000,      17.0195,            ,            ,
160522, 0000,      21.3559,            ,            ,
160523, 0000,      45.0892,            ,            ,
160524, 0000,      47.5461,            ,            ,
160525, 0000,      62.6134,            ,            ,
160526, 0000,      30.6165,            ,            ,
160527, 0000,       40.211,            ,            ,
160528, 0000,       41.546,            ,            ,
160529, 0000,      38.2051,            ,            ,
160530, 0000,             ,     28.1885,            ,
160531, 0000,      33.2145,            ,            ,
160601, 0000,      54.8203,            ,            ,
160602, 0000,      38.7693,            ,            ,
160603, 0000,      30.7636,            ,            ,
160604, 0000,      31.3746,            ,            ,
160605, 0000,      28.0331,            ,            ,
160606, 0000,      31.6021,            ,            ,
160607, 0000,      32.5877,            ,            ,
160608, 0000,      35.4253,            ,            ,
160609, 0000,      52.6605,            ,            ,
160610, 0000,      56.1609,            ,            ,
160611, 0000,      109.044,            ,            ,
160612, 0000,       117.29,            ,            ,
160613, 0000,      47.2603,            ,            ,
160614, 0000,      39.9379,            ,            ,
160615, 0000,      27.9017,            ,            ,
160616, 0000,      65.9807,            ,            ,
160617, 0000,      40.7353,            ,            ,
160618, 0000,      71.5006,            ,            ,
160619, 0000,      61.9714,            ,            ,
160620, 0000,      43.2982,            ,            ,
160621, 0000,      41.7466,            ,            ,
160622, 0000,      56.3309,            ,            ,
160623, 0000,      31.2096,            ,            ,
160624, 0000,             ,     30.5325,            ,
160625, 0000,             ,            ,     44.7624,
160626, 0000,             ,            ,     44.7637,
160627, 0000,             ,            ,     44.7603,
160628, 0000,             ,            ,     69.4834,
160629, 0000,      52.8669,            ,            ,
160630, 0000,      42.3091,            ,            ,
160701, 0000,      46.7906,            ,            ,
160702, 0000,      75.5894,            ,            ,
160703, 0000,      80.6448,            ,            ,
160704, 0000,      49.1438,            ,            ,
160705, 0000,      67.6631,            ,            ,
160706, 0000,      42.2919,            ,            ,
160707, 0000,      77.0138,            ,            ,
160708, 0000,      107.323,            ,            ,
160709, 0000,      116.649,            ,            ,
160710, 0000,      105.605,            ,            ,
160711, 0000,      45.2539,            ,            ,
160712, 0000,      85.0626,            ,            ,
160713, 0000,      21.5742,            ,            ,
160714, 0000,             ,     23.3679,            ,
160715, 0000,      38.4891,            ,            ,
160716, 0000,      84.3965,            ,            ,
160717, 0000,      66.8704,            ,            ,
160718, 0000,      32.0295,            ,            ,
160719, 0000,      49.0097,            ,            ,
160720, 0000,        79.34,            ,            ,
160721, 0000,      50.3773,            ,            ,
160722, 0000,      81.9052,            ,            ,
160723, 0000,      52.5707,            ,            ,
160724, 0000,      51.2455,            ,            ,
160725, 0000,      13.4433,            ,            ,
